UF;População;Casos novos notificados na semana epidemiológica;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos novos notificados na semana epidemiológica;Óbitos Acumulados;Taxa mortalidade (100 mil hab)
AC;881.935;1.485;169.893;436,31;3;2.085;2,04
AL;3.337.357;859;348.970;161,33;1;7.355;1,14
AM;4.144.597;218;643.831;124,16;0;14.537;1,28
AP;845.731;492;191.911;601,37;0;2.175;0,59
BA;14.873.064;586;1.847.242;158,00;14;32.068;1,42
CE;9.132.078;4.816;1.518.025;288,77;0;28.215;0,00
DF;3.015.268;260;956.507;971,29;0;12.028;2,52
ES;4.018.650;468;1.389.122;702,97;1;15.228;1,84
GO;7.018.354;701;2.060.518;1.080,65;7;28.669;3,16
MA;7.075.181;138;501.132;32,44;2;11.104;0,34
MG;21.168.791;992;4.349.128;531,16;11;66.956;4,06
MS;2.778.986;0;636.565;501,66;6;11.314;5,11
MT;3.484.466;0;921.951;987,90;0;15.256;3,07
PA;8.602.865;511;901.444;175,92;23;19.296;1,51
PB;4.018.127;1.813;726.576;229,71;4;10.683;2,24
PE;9.557.071;0;1.235.660;249,58;0;23.241;0,51
PI;3.273.227;0;438.696;152,79;0;8.445;1,44
PR;11.433.957;0;3.037.555;509,89;0;47.106;3,04
RJ;17.264.943;2.141;2.980.323;507,99;5;78.303;3,12
RN;3.506.853;907;601.973;165,42;5;9.323;2,51
RO;1.777.225;378;505.111;833,94;0;7.527;2,36
RR;605.761;29;190.404;670,89;0;2.202;0,17
RS;11.377.239;1.700;3.157.061;591,52;12;43.126;4,22
SC;7.164.788;739;2.096.223;549,06;2;23.181;2,62
SE;2.298.696;593;368.215;120,07;0;6.577;1,61
SP;45.919.049;0;6.917.079;334,87;0;184.290;4,43
TO;1.572.866;124;382.429;622,37;5;4.307;3,50
