PROC_REA,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,Centro-Oeste,191,2030,12,29756924.0,22403130.0,31656874.0
303010037,Centro-Oeste,192,2031,1,34365376.0,25763182.0,39630424.0
303010037,Centro-Oeste,193,2031,2,35843896.0,26041078.0,39858068.0
303010037,Centro-Oeste,194,2031,3,36744824.0,26447384.0,39815140.0
303010037,Centro-Oeste,195,2031,4,37142664.0,26796728.0,39713280.0
303010037,Centro-Oeste,196,2031,5,37269410.0,27040502.0,39616364.0
303010037,Centro-Oeste,197,2031,6,37275240.0,27204962.0,39531228.0
303010037,Centro-Oeste,198,2031,7,37205484.0,27307480.0,39422044.0
303010037,Centro-Oeste,199,2031,8,37114056.0,27368694.0,39318492.0
303010037,Centro-Oeste,200,2031,9,37004284.0,27406148.0,39199956.0
303010037,Centro-Oeste,201,2031,10,36888500.0,27427326.0,39090724.0
303010037,Centro-Oeste,202,2031,11,36771260.0,27435698.0,38980380.0
303010037,Centro-Oeste,203,2031,12,36657464.0,27439310.0,38876430.0
303010037,Centro-Oeste,204,2032,1,37370060.0,29412714.0,41747160.0
303010037,Centro-Oeste,205,2032,2,38778230.0,29692290.0,42009396.0
303010037,Centro-Oeste,206,2032,3,39616820.0,30076178.0,42034964.0
303010037,Centro-Oeste,207,2032,4,39990720.0,30402454.0,42000584.0
303010037,Centro-Oeste,208,2032,5,40124580.0,30626180.0,41964308.0
303010037,Centro-Oeste,209,2032,6,40136904.0,30774444.0,41921108.0
303010037,Centro-Oeste,210,2032,7,40089084.0,30864558.0,41860944.0
303010037,Centro-Oeste,211,2032,8,40017428.0,30917822.0,41792652.0
303010037,Centro-Oeste,212,2032,9,39928070.0,30948028.0,41718824.0
303010037,Centro-Oeste,213,2032,10,39833216.0,30963322.0,41640916.0
303010037,Centro-Oeste,214,2032,11,39730480.0,30967990.0,41562920.0
303010037,Centro-Oeste,215,2032,12,39633670.0,30968402.0,41492184.0
303010037,Centro-Oeste,216,2033,1,41259064.0,34021024.0,44837144.0
303010037,Centro-Oeste,217,2033,2,42572908.0,34296096.0,45101236.0
303010037,Centro-Oeste,218,2033,3,43335892.0,34653340.0,45173384.0
303010037,Centro-Oeste,219,2033,4,43683610.0,34948652.0,45189496.0
303010037,Centro-Oeste,220,2033,5,43811860.0,35152824.0,45194496.0
303010037,Centro-Oeste,221,2033,6,43836516.0,35285696.0,45188290.0
303010037,Centro-Oeste,222,2033,7,43806510.0,35362170.0,45162612.0
303010037,Centro-Oeste,223,2033,8,43752236.0,35409348.0,45127652.0
303010037,Centro-Oeste,224,2033,9,43680110.0,35433736.0,45081540.0
303010037,Centro-Oeste,225,2033,10,43600370.0,35442384.0,45030404.0
303010037,Centro-Oeste,226,2033,11,43515624.0,35443536.0,44980704.0
303010037,Centro-Oeste,227,2033,12,43438176.0,35444148.0,44935940.0
303010037,Centro-Oeste,228,2034,1,45090740.0,38151336.0,48226704.0
303010037,Centro-Oeste,229,2034,2,46402880.0,38421160.0,48518256.0
303010037,Centro-Oeste,230,2034,3,47157628.0,38768840.0,48634440.0
303010037,Centro-Oeste,231,2034,4,47504380.0,39055624.0,48689200.0
303010037,Centro-Oeste,232,2034,5,47640212.0,39250456.0,48725060.0
303010037,Centro-Oeste,233,2034,6,47673850.0,39372670.0,48742070.0
303010037,Centro-Oeste,234,2034,7,47655750.0,39445890.0,48741976.0
303010037,Centro-Oeste,235,2034,8,47610420.0,39487820.0,48725530.0
303010037,Centro-Oeste,236,2034,9,47548436.0,39508384.0,48697840.0
303010037,Centro-Oeste,237,2034,10,47478744.0,39518484.0,48670164.0
303010037,Centro-Oeste,238,2034,11,47400296.0,39517656.0,48635276.0
