PROC_REA,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,214,2032,11,152316140.0,148121760.0,159385300.0
303010037,215,2032,12,152261820.0,148084480.0,159358560.0
303010037,216,2033,1,151280500.0,150150460.0,153366190.0
303010037,217,2033,2,151317710.0,150173950.0,153375260.0
303010037,218,2033,3,151350340.0,150196290.0,153383460.0
303010037,219,2033,4,151377180.0,150215200.0,153390190.0
303010037,220,2033,5,151398850.0,150228370.0,153399260.0
303010037,221,2033,6,151413280.0,150234670.0,153411840.0
303010037,222,2033,7,151421650.0,150233250.0,153427060.0
303010037,223,2033,8,151420500.0,150224660.0,153439340.0
303010037,224,2033,9,151413570.0,150214340.0,153444340.0
303010037,225,2033,10,151402600.0,150203460.0,153444620.0
303010037,226,2033,11,151389600.0,150193140.0,153439630.0
303010037,227,2033,12,151374020.0,150182820.0,153431440.0
303010037,228,2034,1,151979220.0,151060210.0,153752240.0
303010037,229,2034,2,152010530.0,151077200.0,153761020.0
303010037,230,2034,3,152036910.0,151094200.0,153768350.0
303010037,231,2034,4,152059250.0,151108900.0,153775400.0
303010037,232,2034,5,152076060.0,151118990.0,153783020.0
303010037,233,2034,6,152088540.0,151123600.0,153794460.0
303010037,234,2034,7,152094930.0,151121300.0,153807680.0
303010037,235,2034,8,152094340.0,151114100.0,153818240.0
303010037,236,2034,9,152088540.0,151105150.0,153822930.0
303010037,237,2034,10,152079260.0,151095940.0,153821760.0
303010037,238,2034,11,152068530.0,151087580.0,153817940.0
303010037,239,2034,12,152056640.0,151079230.0,153811780.0
303040149,120,2025,1,32642776.0,23857880.0,50199416.0
303040149,121,2025,2,32828466.0,23923454.0,50474388.0
303040149,122,2025,3,33027622.0,23995336.0,50744190.0
303040149,123,2025,4,33216514.0,24052154.0,51005116.0
303040149,124,2025,5,33400818.0,24092468.0,51285972.0
303040149,125,2025,6,33537944.0,24088840.0,51572210.0
303040149,126,2025,7,33606780.0,24044496.0,51831856.0
303040149,127,2025,8,33603830.0,23980420.0,51997416.0
303040149,128,2025,9,33561428.0,23923816.0,52080390.0
303040149,129,2025,10,33515626.0,23892216.0,52087250.0
303040149,130,2025,11,33474738.0,23875360.0,52078508.0
303040149,131,2025,12,33439830.0,23872810.0,52042164.0
303040149,132,2026,1,38647908.0,30237578.0,53758510.0
303040149,133,2026,2,38640388.0,30123486.0,53930332.0
303040149,134,2026,3,38659184.0,30049172.0,54051950.0
303040149,135,2026,4,38698212.0,29995002.0,54164750.0
303040149,136,2026,5,38751690.0,29947440.0,54290936.0
303040149,137,2026,6,38827150.0,29909880.0,54470588.0
303040149,138,2026,7,38912856.0,29896134.0,54661880.0
303040149,139,2026,8,39001204.0,29915298.0,54813684.0
303040149,140,2026,9,39072460.0,29958868.0,54889428.0
303040149,141,2026,10,39124292.0,30015206.0,54899270.0
303040149,142,2026,11,39165800.0,30081400.0,54873412.0
303040149,143,2026,12,39194424.0,30145558.0,54819744.0
303040149,144,2027,1,37585724.0,34380716.0,42392130.0
303040149,145,2027,2,37623596.0,34427176.0,42431850.0
303040149,146,2027,3,37675300.0,34466532.0,42461236.0
303040149,147,2027,4,37728080.0,34491130.0,42490972.0
303040149,148,2027,5,37775464.0,34500336.0,42527132.0
303040149,149,2027,6,37816624.0,34496452.0,42580296.0
303040149,150,2027,7,37842890.0,34479416.0,42636372.0
303040149,151,2027,8,37852056.0,34458576.0,42678356.0
303040149,152,2027,9,37840144.0,34431116.0,42696590.0
303040149,153,2027,10,37815904.0,34403412.0,42694390.0
303040149,154,2027,11,37783024.0,34374484.0,42680716.0
303040149,155,2027,12,37746868.0,34347156.0,42659550.0
303040149,156,2028,1,38671428.0,35850530.0,43129000.0
303040149,157,2028,2,38702052.0,35881996.0,43159120.0
303040149,158,2028,3,38738828.0,35903216.0,43181844.0
303040149,159,2028,4,38774610.0,35911572.0,43204010.0
303040149,160,2028,5,38804276.0,35906436.0,43234260.0
303040149,161,2028,6,38825524.0,35887950.0,43274770.0
303040149,162,2028,7,38834708.0,35856068.0,43326220.0
303040149,163,2028,8,38829450.0,35819224.0,43364748.0
303040149,164,2028,9,38807756.0,35781330.0,43380468.0
303040149,165,2028,10,38774756.0,35745856.0,43374096.0
303040149,166,2028,11,38736096.0,35710012.0,43357470.0
303040149,167,2028,12,38695110.0,35678560.0,43331760.0
303040149,168,2029,1,38988188.0,36198690.0,43716532.0
303040149,169,2029,2,39022264.0,36219960.0,43743810.0
303040149,170,2029,3,39055772.0,36230600.0,43761830.0
303040149,171,2029,4,39084836.0,36229700.0,43780370.0
303040149,172,2029,5,39103470.0,36212224.0,43804424.0
303040149,173,2029,6,39111604.0,36180050.0,43840868.0
303040149,174,2029,7,39106084.0,36134052.0,43884536.0
303040149,175,2029,8,39085210.0,36081916.0,43915936.0
303040149,176,2029,9,39050780.0,36030544.0,43925656.0
303040149,177,2029,10,39007600.0,35983772.0,43914680.0
303040149,178,2029,11,38959940.0,35940972.0,43889810.0
303040149,179,2029,12,38909070.0,35899588.0,43857340.0
303040149,180,2030,1,39854800.0,37174132.0,44699070.0
303040149,181,2030,2,39879892.0,37174348.0,44715184.0
303040149,182,2030,3,39899068.0,37163924.0,44727300.0
303040149,183,2030,4,39906450.0,37138700.0,44735490.0
303040149,184,2030,5,39902644.0,37098060.0,44750596.0
303040149,185,2030,6,39880884.0,37036130.0,44774244.0
303040149,186,2030,7,39844996.0,36959068.0,44802780.0
303040149,187,2030,8,39796996.0,36878160.0,44824320.0
303040149,188,2030,9,39740180.0,36804308.0,44822436.0
303040149,189,2030,10,39679210.0,36739570.0,44801492.0
303040149,190,2030,11,39613796.0,36680124.0,44763910.0
303040149,191,2030,12,39548496.0,36625668.0,44719964.0
303040149,192,2031,1,39178504.0,38627196.0,40149844.0
303040149,193,2031,2,39185452.0,38627348.0,40153060.0
303040149,194,2031,3,39190536.0,38625428.0,40155588.0
303040149,195,2031,4,39192476.0,38619316.0,40158116.0
303040149,196,2031,5,39190536.0,38609080.0,40160948.0
303040149,197,2031,6,39184930.0,38594500.0,40164704.0
303040149,198,2031,7,39175588.0,38575370.0,40169684.0
303040149,199,2031,8,39163484.0,38555504.0,40172370.0
303040149,200,2031,9,39150344.0,38537784.0,40171370.0
303040149,201,2031,10,39135856.0,38521544.0,40166236.0
303040149,202,2031,11,39121304.0,38507000.0,40158652.0
303040149,203,2031,12,39106532.0,38493412.0,40149692.0
303040149,204,2032,1,39602840.0,38849450.0,41000964.0
303040149,205,2032,2,39614176.0,38849450.0,41006284.0
303040149,206,2032,3,39621280.0,38844932.0,41010744.0
303040149,207,2032,4,39622710.0,38835300.0,41014104.0
303040149,208,2032,5,39619012.0,38820116.0,41017156.0
303040149,209,2032,6,39609110.0,38797250.0,41022708.0
303040149,210,2032,7,39594230.0,38769060.0,41028816.0
303040149,211,2032,8,39575356.0,38739570.0,41031630.0
303040149,212,2032,9,39554452.0,38711944.0,41028736.0
303040149,213,2032,10,39532508.0,38687216.0,41020520.0
303040149,214,2032,11,39510870.0,38666336.0,41008004.0
303040149,215,2032,12,39489172.0,38645910.0,40994316.0
303040149,216,2033,1,39558224.0,39187990.0,40285010.0
303040149,217,2033,2,39567584.0,39188144.0,40289076.0
303040149,218,2033,3,39573170.0,39186200.0,40292304.0
303040149,219,2033,4,39574980.0,39181344.0,40294456.0
303040149,220,2033,5,39573544.0,39173496.0,40296684.0
303040149,221,2033,6,39568790.0,39161916.0,40299224.0
303040149,222,2033,7,39561016.0,39147056.0,40302296.0
303040149,223,2033,8,39550610.0,39130708.0,40303296.0
303040149,224,2033,9,39539744.0,39116230.0,40301452.0
303040149,225,2033,10,39528056.0,39103028.0,40296760.0
303040149,226,2033,11,39516750.0,39091244.0,40290540.0
303040149,227,2033,12,39505220.0,39080510.0,40283004.0
303040149,228,2034,1,39681630.0,39389650.0,40275172.0
303040149,229,2034,2,39689050.0,39389350.0,40278860.0
303040149,230,2034,3,39693516.0,39387772.0,40281624.0
303040149,231,2034,4,39695180.0,39384164.0,40283776.0
303040149,232,2034,5,39694424.0,39378230.0,40285930.0
303040149,233,2034,6,39690940.0,39368996.0,40288536.0
303040149,234,2034,7,39685110.0,39357508.0,40291380.0
303040149,235,2034,8,39676940.0,39344596.0,40292228.0
303040149,236,2034,9,39668010.0,39332370.0,40291228.0
303040149,237,2034,10,39659004.0,39321790.0,40287850.0
303040149,238,2034,11,39649550.0,39311744.0,40282930.0
303040149,239,2034,12,39640176.0,39302596.0,40277092.0
303060212,120,2025,1,41377748.0,30319066.0,61327090.0
303060212,121,2025,2,41681200.0,30464218.0,61456480.0
303060212,122,2025,3,41946464.0,30620340.0,61484148.0
303060212,123,2025,4,42166416.0,30756780.0,61463276.0
