PA_PROC_ID,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
202020380,Centro-Oeste,191,2030,12,4704706.0,4364802.5,4876036.5
202020380,Centro-Oeste,192,2031,1,5095963.0,4687432.0,5323362.0
202020380,Centro-Oeste,193,2031,2,5107723.0,4702763.0,5308918.0
202020380,Centro-Oeste,194,2031,3,5109277.5,4706967.5,5291984.0
202020380,Centro-Oeste,195,2031,4,5105551.0,4704643.0,5276009.5
202020380,Centro-Oeste,196,2031,5,5098194.5,4700373.0,5261483.0
202020380,Centro-Oeste,197,2031,6,5088892.0,4695212.5,5248728.5
202020380,Centro-Oeste,198,2031,7,5078473.5,4689274.0,5237123.5
202020380,Centro-Oeste,199,2031,8,5068288.5,4683450.5,5227822.0
202020380,Centro-Oeste,200,2031,9,5057863.5,4677001.0,5219741.5
202020380,Centro-Oeste,201,2031,10,5048240.5,4670253.0,5212772.5
202020380,Centro-Oeste,202,2031,11,5039500.0,4663590.0,5207411.0
202020380,Centro-Oeste,203,2031,12,5031125.0,4657172.5,5202353.0
202020380,Centro-Oeste,204,2032,1,5145383.5,4834511.5,5274621.5
202020380,Centro-Oeste,205,2032,2,5146796.5,4837735.5,5266413.0
202020380,Centro-Oeste,206,2032,3,5146060.5,4837611.0,5258649.0
202020380,Centro-Oeste,207,2032,4,5142871.5,4834682.0,5250816.5
202020380,Centro-Oeste,208,2032,5,5137474.5,4830488.0,5243100.5
202020380,Centro-Oeste,209,2032,6,5131241.5,4826123.5,5236339.5
202020380,Centro-Oeste,210,2032,7,5124307.0,4821325.0,5230325.5
202020380,Centro-Oeste,211,2032,8,5117074.5,4816338.5,5224991.0
202020380,Centro-Oeste,212,2032,9,5110266.5,4811091.5,5220857.0
202020380,Centro-Oeste,213,2032,10,5103779.0,4805937.5,5217402.5
202020380,Centro-Oeste,214,2032,11,5097533.0,4800207.0,5214403.0
202020380,Centro-Oeste,215,2032,12,5091902.0,4794744.0,5212210.0
202020380,Centro-Oeste,216,2033,1,5271186.5,5030070.0,5339026.0
202020380,Centro-Oeste,217,2033,2,5271000.5,5027863.5,5337774.0
202020380,Centro-Oeste,218,2033,3,5270121.0,5025088.5,5336201.0
202020380,Centro-Oeste,219,2033,4,5268091.0,5021668.0,5333728.5
202020380,Centro-Oeste,220,2033,5,5264635.5,5017861.5,5330611.5
202020380,Centro-Oeste,221,2033,6,5260108.5,5013949.0,5327262.0
202020380,Centro-Oeste,222,2033,7,5255109.5,5009776.5,5324255.0
202020380,Centro-Oeste,223,2033,8,5250065.5,5005554.5,5321672.0
202020380,Centro-Oeste,224,2033,9,5245155.5,5001069.5,5319647.5
202020380,Centro-Oeste,225,2033,10,5240555.5,4996702.5,5317968.0
202020380,Centro-Oeste,226,2033,11,5236044.5,4992173.0,5316614.5
202020380,Centro-Oeste,227,2033,12,5231867.0,4987571.5,5315448.0
202020380,Centro-Oeste,228,2034,1,5343677.0,5153353.5,5373480.5
202020380,Centro-Oeste,229,2034,2,5350714.5,5153196.5,5382605.0
202020380,Centro-Oeste,230,2034,3,5353966.0,5151564.5,5388064.0
202020380,Centro-Oeste,231,2034,4,5354701.0,5149143.5,5390649.5
202020380,Centro-Oeste,232,2034,5,5353532.0,5146242.0,5391323.0
202020380,Centro-Oeste,233,2034,6,5351066.5,5143112.0,5391143.0
202020380,Centro-Oeste,234,2034,7,5347934.0,5139724.0,5390546.5
202020380,Centro-Oeste,235,2034,8,5344421.0,5136274.0,5389837.0
202020380,Centro-Oeste,236,2034,9,5340870.0,5132685.0,5389179.5
202020380,Centro-Oeste,237,2034,10,5337371.5,5128731.5,5388732.5
202020380,Centro-Oeste,238,2034,11,5334054.0,5124873.5,5388434.0
202020380,Centro-Oeste,239,2034,12,5330977.5,5121043.5,5388167.0
202020380,Nordeste,120,2025,1,5596676.5,5314860.0,6247784.5
202020380,Nordeste,121,2025,2,5778349.5,5449971.0,6354815.5
202020380,Nordeste,122,2025,3,5911595.0,5538763.0,6441962.5
202020380,Nordeste,123,2025,4,6006270.5,5596799.0,6507879.5
